"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 11 14:31:25 GMT 2022","Sun Sep 11 14:31:25 GMT 2022","12","","qa.guru.allure.LabelsTest","","qa.guru.allure.LabelsTest","testStaticLabels","Создание Issue для авторизованного пользователя",""
"passed","Sun Sep 11 14:31:25 GMT 2022","Sun Sep 11 14:31:25 GMT 2022","8","","qa.guru.allure.LabelsTest","","qa.guru.allure.LabelsTest","testDynamicLabels","Создание Issue для авторизованного пользователя",""
"passed","Sun Sep 11 14:31:11 GMT 2022","Sun Sep 11 14:31:18 GMT 2022","6656","","qa.guru.allure.AttachmentsTest","","qa.guru.allure.AttachmentsTest","testLambdaAttachments","testLambdaAttachments()",""
"passed","Sun Sep 11 14:31:36 GMT 2022","Sun Sep 11 14:31:39 GMT 2022","2819","","qa.guru.allure.StepsTest","","qa.guru.allure.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
"broken","Sun Sep 11 14:31:25 GMT 2022","Sun Sep 11 14:31:32 GMT 2022","7178","","qa.guru.allure.RegistrationFormWithPageObjectsStepsTests","","qa.guru.allure.RegistrationFormWithPageObjectsStepsTests","fillFormTest","Проверка формы на Demoqa.com",""
"passed","Sun Sep 11 14:31:32 GMT 2022","Sun Sep 11 14:31:36 GMT 2022","4148","","qa.guru.allure.SelenideTest","","qa.guru.allure.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Sun Sep 11 14:31:39 GMT 2022","Sun Sep 11 14:31:43 GMT 2022","3351","","qa.guru.allure.StepsTest","","qa.guru.allure.StepsTest","testLambdaStep","testLambdaStep()",""
"passed","Sun Sep 11 14:31:18 GMT 2022","Sun Sep 11 14:31:25 GMT 2022","6286","","qa.guru.allure.AttachmentsTest","","qa.guru.allure.AttachmentsTest","testAnnotatedAttachments","testAnnotatedAttachments()",""
