"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 11 14:38:46 GMT 2022","Sun Sep 11 14:38:52 GMT 2022","5204","","qa.guru.allure.AttachmentsTest","","qa.guru.allure.AttachmentsTest","testLambdaAttachments","testLambdaAttachments()",""
"passed","Sun Sep 11 14:38:52 GMT 2022","Sun Sep 11 14:38:56 GMT 2022","3731","","qa.guru.allure.AttachmentsTest","","qa.guru.allure.AttachmentsTest","testAnnotatedAttachments","testAnnotatedAttachments()",""
"passed","Sun Sep 11 14:39:01 GMT 2022","Sun Sep 11 14:39:06 GMT 2022","4884","","qa.guru.allure.SelenideTest","","qa.guru.allure.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Sun Sep 11 14:38:56 GMT 2022","Sun Sep 11 14:38:56 GMT 2022","1","","qa.guru.allure.LabelsTest","","qa.guru.allure.LabelsTest","testDynamicLabels","Создание Issue для авторизованного пользователя",""
"passed","Sun Sep 11 14:38:56 GMT 2022","Sun Sep 11 14:39:01 GMT 2022","5556","","qa.guru.allure.RegistrationFormWithPageObjectsStepsTests","","qa.guru.allure.RegistrationFormWithPageObjectsStepsTests","fillFormTest","Проверка формы на Demoqa.com",""
"passed","Sun Sep 11 14:38:56 GMT 2022","Sun Sep 11 14:38:56 GMT 2022","6","","qa.guru.allure.LabelsTest","","qa.guru.allure.LabelsTest","testStaticLabels","Создание Issue для авторизованного пользователя",""
"passed","Sun Sep 11 14:39:08 GMT 2022","Sun Sep 11 14:39:10 GMT 2022","2071","","qa.guru.allure.StepsTest","","qa.guru.allure.StepsTest","testLambdaStep","testLambdaStep()",""
"passed","Sun Sep 11 14:39:06 GMT 2022","Sun Sep 11 14:39:08 GMT 2022","2221","","qa.guru.allure.StepsTest","","qa.guru.allure.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
